GEOID,obesity_cr
6037243100,39.5
6037121802,30.9
6037123520,27.5
6037275102,28.4
6037139802,22.4
6037199000,25.6
6037291300,18.6
6037189300,20.8
6037106643,20.3
6037212610,20.8
6037207900,18.8
6037192410,22.0
6037191302,26.5
6037117510,33.3
6037276400,21.7
6037119900,24.5
6037120300,25.2
6037109601,24.9
6037199201,28.6
6037183103,27.2
6037128101,28.9
6037221820,17.9
6037191901,23.4
6037117101,22.2
6037261101,21.5
6037209102,31.8
6037104320,31.2
6037104124,26.9
6037117407,35.4
6037195201,22.8
6037189800,24.1
6037294830,34.3
6037237720,38.5
6037195802,24.1
6037277000,20.3
6037185310,29.7
6037191820,24.7
6037141700,20.9
6037218702,34.1
6037195710,31.2
6037137103,21.7
6037218210,35.2
6037197700,20.6
6037101220,29.2
6037106407,32.8
6037187300,21.6
6037123203,32.7
6037128802,21.5
6037209820,36.7
6037206010,26.1
6037139200,24.7
6037214000,21.4
6037115403,26.8
6037265303,20.1
6037271300,21.0
6037201301,30.5
6037211320,28.3
6037212702,20.1
6037195903,23.8
6037132002,26.4
6037273800,22.5
6037216200,23.5
6037211703,21.3
6037213100,23.6
6037125502,23.1
6037104821,30.1
6037221401,35.7
6037241120,38.5
6037293307,29.6
6037195804,24.6
6037183610,30.7
6037237500,37.0
6037139302,27.7
6037261200,21.1
6037269907,21.2
6037296901,29.8
6037271100,20.8
6037135203,22.7
6037224410,24.6
6037204410,33.3
6037127803,30.8
6037185100,25.3
6037262301,19.0
6037222600,31.3
6037224700,21.4
6037189500,24.2
6037294410,30.5
6037102103,23.2
6037274100,21.2
6037187200,26.9
6037208610,21.6
6037234300,33.6
6037271901,22.1
6037203100,33.9
6037211201,29.8
6037111100,24.2
6037199120,29.7
6037104620,32.3
6037107010,30.5
6037111302,21.9
6037294510,31.8
6037143100,23.1
6037209810,34.1
6037106648,31.9
6037236100,36.6
6037133100,24.7
6037141202,22.7
6037240402,37.1
6037189202,20.7
6037265100,20.0
6037293301,19.9
6037212204,32.0
6037297400,22.2
6037204110,30.1
6037207301,26.3
6037185204,22.5
6037137401,23.0
6037201401,29.5
6037103102,24.7
6037119202,29.3
6037209510,30.5
6037195720,27.3
6037296402,26.2
6037194500,20.7
6037211922,23.7
6037139503,24.4
6037131701,26.7
6037135102,22.4
6037204300,35.5
6037113303,24.4
6037139702,20.8
6037208301,33.0
6037120103,36.5
6037241001,34.2
6037123020,30.8
6037204200,32.8
6037107020,28.2
6037199110,29.0
6037231500,34.2
6037272201,24.8
6037212620,23.5
6037294820,34.7
6037237800,33.3
6037211804,19.5
6037232700,36.6
6037201602,28.4
6037189905,22.3
6037143902,20.8
6037137504,22.0
6037204600,34.6
6037104822,30.4
6037261102,20.9
6037240700,33.6
6037199700,28.9
6037228720,35.1
6037234902,38.5
6037220100,33.6
6037127806,31.9
6037117520,34.1
6037117201,28.6
6037294520,31.5
6037206032,29.5
6037239502,36.9
6037113237,22.8
6037109604,26.3
6037185320,32.5
6037272202,25.5
6037232500,35.6
6037212101,20.5
6037111206,21.9
6037265510,19.7
6037234000,32.6
6037113233,27.2
6037183820,33.7
6037192510,23.5
6037120020,31.8
6037242700,36.6
6037106408,31.4
6037117530,29.3
6037238200,35.3
6037276100,27.1
6037236203,38.2
6037201302,21.6
6037294900,34.6
6037234700,35.9
6037197410,23.5
6037195902,23.9
6037214501,18.6
6037108104,21.7
6037141500,21.1
6037294110,31.7
6037109400,26.2
6037123303,29.5
6037199800,27.4
6037192700,28.0
6037232600,34.6
6037273200,26.7
6037275603,22.1
6037234501,34.1
6037272100,24.3
6037262802,20.3
6037218110,30.0
6037228420,35.6
6037267501,22.0
6037273502,22.9
6037134303,24.1
6037192520,29.1
6037183520,30.8
6037228800,35.8
6037124903,25.0
6037229200,33.9
6037122420,29.7
6037227010,36.7
6037108103,18.9
6037120104,29.2
6037135113,21.2
6037131200,25.9
6037229410,37.8
6037208402,27.7
6037273100,22.3
6037121221,28.8
6037181500,22.9
6037141302,21.9
6037195300,23.2
6037120400,25.1
6037297110,33.0
6037236400,31.0
6037143800,21.6
6037123602,26.0
6037108202,18.0
6037267902,21.2
6037273902,22.1
6037128602,24.9
6037121900,29.7
6037207501,18.0
6037139600,22.2
6037239602,38.0
6037117302,23.2
6037239320,35.7
6037192001,22.6
6037127210,30.2
6037195600,26.3
6037241201,35.6
6037217001,22.8
6037271802,21.0
6037113321,23.8
6037296210,33.8
6037119340,36.7
6037199202,29.5
6037231600,34.9
6037190100,23.4
6037267200,19.6
6037113232,22.6
6037128500,24.2
6037102105,29.8
6037262706,21.3
6037134423,23.2
6037197420,26.3
6037218500,32.7
6037137501,22.4
6037206050,31.0
6037124000,22.6
6037216800,23.6
6037218600,32.8
6037222200,34.5
6037123103,27.9
6037213320,27.6
6037192610,29.4
6037119320,28.7
6037191720,33.2
6037272302,26.6
6037120107,35.3
6037127712,30.7
6037187101,23.4
6037109700,23.6
6037219901,34.5
6037214700,21.0
6037139502,23.3
6037141102,23.1
6037240401,36.0
6037201200,30.0
6037221110,35.7
6037131900,26.4
6037117301,23.6
6037211410,21.7
6037141101,22.8
6037133000,27.5
6037115302,31.1
6037213402,30.3
6037265305,19.0
6037237402,34.2
6037222100,31.3
6037273300,27.5
6037262704,22.4
6037199900,30.3
6037237401,36.5
6037124600,23.0
6037191620,30.0
6037294120,33.7
6037219010,33.6
6037121010,26.7
6037123800,26.7
6037231100,40.9
6037262100,21.1
6037134522,33.1
6037143400,21.9
6037143200,23.5
6037236000,29.5
6037123700,25.8
6037139504,24.9
6037241300,36.4
6037204700,31.0
6037101110,26.9
6037124300,30.1
6037125600,23.9
6037239202,35.8
6037271902,22.1
6037106111,27.0
6037296220,34.0
6037127805,27.9
6037139301,23.1
6037128702,22.7
6037183300,24.5
6037131702,26.8
6037125310,27.0
