GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density,Lonpro,Latpro
6037240700,33.6,0.294958379,0.004711795,0.010523009,0,0.690906235,0.467567143,0.324812968,0.193340663,0.143395634,0.132558505,0.113397204,0.123920214,0.368751636,43796,0.063273728,0.145280352,0.20830788,305500,1948,0.555284056,5332.76379,383622,3757000
6037199700,28.9,0.010259699,0.00577108,0.131452389,0.006091696,0.691247195,0.563321577,0.377752028,0.242705996,0.102276371,0.128246233,0.106123758,0.221224752,0.351137947,36442,0.064073227,0.254889388,0.030164534,381600,1941,0.774223035,3215.099319,387401,3770320
6037228720,35.1,0.099276112,0.020268873,0.002481903,0,0.895553257,0.491003102,0.343794579,0.204550155,0.124922441,0.131127198,0.101344364,0.093485005,0.601638705,36587,0.097228746,0.290523691,0.283479961,327200,1948,0.688172043,11968.94757,384566,3762790
6037234902,38.5,0.411060143,0.00382263,0.018858308,0.005606524,0.484454638,0.462793068,0.321937322,0.171508665,0.156472987,0.110601427,0.134046891,0.192915392,0.287739464,23321,0.088331516,0.268687925,0.311653117,483000,1955,0.81504065,8768.146869,376770,3760990
6037220100,33.6,0.514305412,0,0.042399173,0,0.366425371,0.495001724,0.343242172,0.208548776,0.070665288,0.163391934,0.177524991,0.219579455,0.183341548,53727,0.039966694,0.230265426,0.146435453,588900,1950,0.520231214,2960.222205,373819,3765640
6037127806,31.9,0.054103904,0,0.047955733,0,0.659391331,0.548109437,0.351580571,0.192745158,0.178911774,0.1438672,0.115585613,0.130956041,0.349647059,36633,0.077207827,0.293935644,0.202302632,531500,1977,0.808388158,4763.243516,365720,3784020
6037117520,34.1,0.063634164,0,0.073312364,0,0.835954512,0.501572707,0.403660886,0.235664166,0.163077668,0.116622308,0.097749819,0.084442294,0.442682374,37375,0.11836543,0.355121951,0.259259259,325000,1978,0.830009497,12693.41097,365230,3788630
6037117201,28.6,0.019017764,0,0.143364681,0,0.695506792,0.46353187,0.495625176,0.211912226,0.093207941,0.142110763,0.100731452,0.152560084,0.246626687,55750,0.072338258,0.241357097,0.151211362,515400,1975,0.69924812,6046.41524,364622,3790040
6037294520,31.5,0.018788039,0.005821646,0.013495634,0,0.939666578,0.483196613,0.461913696,0.180735644,0.153215136,0.11722678,0.102937285,0.095792538,0.423379175,49188,0.076049943,0.210916799,0.211206897,388600,1943,0.649784483,7810.19107,382809,3739240
6037206032,29.5,0.022179364,0.009836066,0.149855352,0,0.699903568,0.451301832,0.33062645,0.234715526,0.099903568,0.113596914,0.108389585,0.223336548,0.393187929,35706,0.040841584,0.335975256,0.183056872,465400,1977,0.870260664,5276.574958,386961,3768050
6037239502,36.9,0.218733226,0,0,0,0.776167472,0.473698336,0.370081531,0.199946323,0.154052603,0.154589372,0.10171766,0.082662373,0.497318381,34605,0.12383323,0.313773431,0.228982301,337500,1952,0.632743363,7296.125573,383315,3759470
6037113237,22.8,0.091676719,0.006996381,0.119903498,0,0.252834741,0.503498191,0.464275548,0.150784077,0.08106152,0.153437877,0.138962606,0.275271411,0.093561368,82821,0.094013096,0.07408319,0.034146341,705300,1980,0.375609756,873.3597035,351490,3790410
6037109604,26.3,0.023963731,0.019430052,0.179727979,0,0.537564767,0.515867876,0.507632094,0.189443005,0.168717617,0.123056995,0.100064767,0.191709845,0.132093023,88000,0.083997873,0.069948187,0.024336283,456000,1957,0.212389381,2629.293239,365089,3792130
6037185320,32.5,0.006397306,0.01952862,0.067340067,0,0.84983165,0.51010101,0.409436226,0.191919192,0.125252525,0.163973064,0.172727273,0.120538721,0.46292482,45600,0.121035599,0.254968003,0.132211538,455400,1939,0.674278846,5031.459326,386997,3772620
6037272202,25.5,0.037475345,0.037757115,0.085657932,0.007326007,0.41053818,0.514792899,0.372206025,0.166525782,0.319808397,0.186813187,0.053536207,0.114961961,0.200283086,63867,0.060505595,0.085376162,0.061135371,757500,1973,0.815346226,11468.10484,367089,3762820
6037232500,35.6,0.356595745,0,0.008723404,0,0.633404255,0.485744681,0.359658485,0.177021277,0.155106383,0.092553191,0.11787234,0.209574468,0.454788121,41991,0.101654846,0.25540107,0.229181005,364200,1943,0.527873365,6124.935656,378934,3762050
6037212101,20.5,0.180410742,0.003159558,0.437914692,0,0.258135861,0.478672986,0.315677213,0.277093207,0.218325434,0.089099526,0.13206951,0.152290679,0.176470588,52652,0.05876494,0.192417062,0.096072931,573200,1982,0.927068724,17043.98587,380574,3769960
6037111206,21.9,0.01232314,0.002738476,0.127110908,0.02715655,0.290963031,0.50798722,0.571651902,0.097900502,0.091282519,0.141259699,0.203788225,0.264719306,0.086806644,114861,0.057025547,0.043239533,0.016479895,647700,1961,0.102834542,1671.281634,358732,3792890
6037265510,19.7,0.038654409,0.006895111,0.389260343,0,0.057459256,0.390513999,0.251838645,0.498328458,0.180944421,0.07145842,0.040952779,0.125574593,0,52917,0.077728554,0.411617217,0.012085944,677800,1978,0.8912265,12485.29339,366859,3769360
6037234000,32.6,0.589022498,0.00329713,0.008921645,0,0.367339022,0.423390225,0.442486306,0.117532971,0.143134213,0.132854926,0.138285493,0.266485648,0.177795443,56708,0.059682805,0.17476489,0.103291139,533500,1939,0.332658228,4153.575974,377977,3764280
6037113233,27.2,0.064664218,0.00747639,0.123950682,0,0.612145855,0.493572928,0.375501042,0.256689402,0.14021511,0.150183631,0.113719832,0.125918153,0.19204118,47500,0.06900801,0.206153037,0.125199362,322000,1971,0.753588517,6666.433493,352518,3788480
6037183820,33.7,0.012179965,0.035794183,0.042257022,0,0.868754661,0.498632861,0.425669139,0.22843649,0.129256774,0.150136714,0.137211037,0.079294059,0.336029114,37857,0.061620573,0.29057917,0.112903226,507700,1962,0.78046595,13040.47637,389580,3774330
6037192510,23.5,0.008262329,0,0.379808934,0.002840176,0.546604699,0.542731733,0.499841521,0.165504777,0.149754712,0.163439194,0.155176865,0.149238317,0.322083639,48218,0.053211889,0.219695012,0.135525261,637100,1965,0.794707298,11371.14319,379424,3771780
6037120020,31.8,0.057098365,0,0.181417078,0,0.741240592,0.488710096,0.513478402,0.178043083,0.146638983,0.16013496,0.139890994,0.144822216,0.384950495,32551,0.088047221,0.307293018,0.195079086,420300,1967,0.831282953,6980.717421,365998,3787330
6037242700,36.6,0.210428932,0.000336417,0.008578638,0,0.778805719,0.50294365,0.392523364,0.196131203,0.121783011,0.116232128,0.142136249,0.098738436,0.473764959,42978,0.087504776,0.289929662,0.311092577,347500,1963,0.531276063,5858.643593,385155,3755790
6037106408,31.4,0.018600996,0,0.035892062,0,0.905947079,0.503536809,0.403717994,0.223735918,0.166623002,0.145402148,0.094052921,0.061042704,0.329732269,49464,0.049792531,0.151951795,0.156087409,316000,1983,0.861602497,16668.99576,367497,3797830
6037117530,29.3,0.017773893,0,0.119318182,0.009032634,0.785839161,0.500582751,0.382140137,0.241404429,0.154137529,0.119463869,0.099796037,0.093094406,0.372153209,51875,0.098973414,0.235810415,0.231196054,300600,1972,0.788532676,12330.13284,365183,3788060
6037238200,35.3,0.731077293,0,0.043051662,0,0.218261914,0.494593512,0.351345291,0.140168202,0.160993192,0.135162195,0.134961954,0.273127753,0.233487361,42344,0.045033113,0.166633125,0.090866945,386000,1948,0.513676402,4866.64003,380079,3758870
6037276100,27.1,0.404307051,0,0.158735672,0,0.157346301,0.483674887,0.213514594,0.248523793,0.23706148,0.151788816,0.094303578,0.121222647,0.019828752,63814,0.074054622,0.06147968,0.009034051,539800,1982,0.850590688,5848.256137,373165,3760330
6037236203,38.2,0.592895316,0.01005973,0.057529079,0.002514932,0.265325369,0.456774599,0.313294798,0.169757938,0.162527507,0.139893115,0.130147752,0.171644137,0.223222322,26681,0.093281148,0.320339516,0.174001354,310500,1956,0.98239675,9378.031056,375651,3765020
6037201302,21.6,0.072078376,0.00209937,0.417541404,0,0.267786331,0.453463961,0.412443014,0.14672265,0.224399347,0.117331467,0.151154654,0.226265454,0.106812447,80000,0.049193548,0.16056338,0.017460317,426600,1983,0.376719577,4324.968902,390794,3773640
6037294900,34.6,0.015672257,0.049491339,0.004949134,0.004124278,0.911465494,0.486664834,0.411366202,0.184492714,0.114379984,0.142974979,0.092108881,0.124828155,0.552143992,39712,0.069331668,0.250623096,0.227973568,353600,1979,0.683920705,5645.306495,381717,3737930
6037234700,35.9,0.445433659,0,0.000287191,0,0.544514647,0.515221137,0.342586324,0.154221712,0.138426192,0.161688685,0.149626651,0.19012062,0.328437373,38776,0.055099648,0.252883506,0.098552722,370400,1941,0.585113715,4694.367299,377369,3761530
6037197410,23.5,0.022188049,0.010984183,0.118189807,0.00241652,0.369507909,0.487917399,0.429911412,0.163224956,0.202328647,0.172671353,0.108963093,0.184314587,0.108229989,102631,0.03065794,0.100615114,0.057276447,873100,1939,0.504967855,3268.588662,384647,3773160
6037195902,23.9,0.031543996,0,0.136137244,0,0.259546209,0.589928058,0.330708661,0.174322081,0.256779192,0.226342003,0.102379635,0.121748755,0.038834951,68036,0.079416532,0.213613724,0.012435233,850500,1939,0.808290155,5199.416468,381974,3772470
6037214501,18.6,0.090163934,0.012116892,0.239843193,0,0.107982894,0.49109052,0.414119673,0.183891661,0.238061297,0.168923735,0.083036351,0.134711333,0.035360679,94076,0.061068702,0.102993585,0.015658363,1843800,1968,0.951601423,3731.209319,374702,3770890
6037108104,21.7,0.048907388,0,0.308012487,0,0.059313215,0.501560874,0.549443758,0.157127992,0.047346514,0.136836629,0.142559834,0.287721124,0.038575668,130714,0.023474178,0.078563996,0.010526316,673800,1967,0.119298246,2327.524613,357717,3795870
6037141500,21.1,0.017803158,0,0.097077595,0,0.047027209,0.464897548,0.640216037,0.065166275,0.071548539,0.156533423,0.194827007,0.278804165,0.006404392,214313,0.05322688,0.030567686,0,1665000,1958,0.021355617,893.8893043,363670,3778720
6037294110,31.7,0,0.008618626,0.022025377,0.005266938,0.840555423,0.50418961,0.425087108,0.181469955,0.095523103,0.150586545,0.098395978,0.17787886,0.372193777,50988,0.115325474,0.132870481,0.103723404,410700,1956,0.45212766,4224.607097,383328,3740470
6037109400,26.2,0.022733013,0.01060874,0.035362465,0.045971205,0.767618085,0.482445062,0.413952148,0.203586764,0.106592574,0.159131094,0.136903258,0.183884819,0.238584475,77273,0.037671233,0.076417004,0.051886792,410300,1962,0.256603774,3068.112247,365989,3792910
6037123303,29.5,0.011047874,0,0.087713425,0,0.48844995,0.464345497,0.450698758,0.192500837,0.191496485,0.132909274,0.111817877,0.192166053,0.208659604,40700,0.113621691,0.233423545,0.101713062,468300,1962,0.700214133,4717.584571,369939,3784930
6037199800,27.4,0.00018423,0.028002948,0.354642594,0,0.6366986,0.504605748,0.412380519,0.172807664,0.105932203,0.15899042,0.125460575,0.192888725,0.497357441,35977,0.092443422,0.261504343,0.16485623,464300,1939,0.710543131,8338.722983,388317,3770650
6037192700,28,0.020984665,0.00322841,0.205811138,0,0.605595911,0.52165725,0.308259134,0.264460586,0.19235943,0.126177024,0.102771052,0.162496637,0.2153447,47331,0.099530516,0.231369384,0.140964995,716200,1953,0.89025544,7000.474608,381154,3771780
6037232600,34.6,0.248304149,0.002997318,0.007414419,0,0.728190566,0.432402587,0.38942804,0.174317716,0.174475469,0.120997003,0.114213598,0.131882,0.349617111,35645,0.065601066,0.335296927,0.204831933,325000,1942,0.524684874,7974.337202,380118,3762040
6037273200,26.7,0.073066341,0.062060532,0.011617242,0,0.367777438,0.558544788,0.30551676,0.194130235,0.245184959,0.125038215,0.154081321,0.134209722,0.147013783,84661,0.085166121,0.1875,0.05846363,1328500,1952,0.649898029,5097.4452,364519,3762860
6037275603,22.1,0.022509225,0.006273063,0.248339483,0,0.282287823,0.523616236,0.435062152,0.131734317,0.150184502,0.218081181,0.10295203,0.225092251,0.080861244,79313,0.028678304,0.093726937,0.020016681,742800,1957,0.437030859,2637.007629,370091,3761520
6037234501,34.1,0.543002915,0.005102041,0.009110787,0,0.372813411,0.452259475,0.405381944,0.174927114,0.149052478,0.099125364,0.157798834,0.228498542,0.227797291,43750,0.107715814,0.154072982,0.077731092,397800,1939,0.300420168,3651.490271,377684,3762670
6037272100,24.3,0.007054297,0.037836682,0.062633604,0.004275331,0.283668234,0.509833262,0.429071804,0.141513467,0.156477127,0.168661821,0.141727234,0.200299273,0.127659574,92034,0.054254924,0.142154767,0.061654949,1152100,1948,0.451054624,3902.040272,366808,3763500
6037262802,20.3,0.00303859,0,0.023397144,0,0.096323306,0.488301428,0.67092034,0.058948648,0.040413248,0.151929505,0.136432695,0.333029474,0,225750,0.045182724,0.019446977,0,2000000,1959,0.183544304,965.2838352,360777,3767860
6037218110,30,0.210558252,0.005764563,0.205400485,0,0.525182039,0.408980583,0.336556341,0.200242718,0.190230583,0.112864078,0.102245146,0.203276699,0.204314204,43073,0.057522124,0.255157767,0.110429448,754300,1942,0.701139351,5508.527689,377463,3767870
6037228420,35.6,0.067721519,0,0,0,0.923734177,0.515822785,0.423879272,0.196518987,0.133544304,0.17278481,0.087658228,0.069620253,0.587683284,35027,0.101023891,0.40069797,0.319543509,411500,1942,0.780313837,11397.08004,382551,3763800
6037267501,22,0.020650331,0.082909539,0.15919248,0,0.338881184,0.533980583,0.361228814,0.274772692,0.316227462,0.097241486,0.059177069,0.117583603,0.151484751,79531,0.02340234,0.103041589,0.032113518,658200,1977,0.838312173,14302.71771,365595,3767700
6037273502,22.9,0.06604426,0.006224066,0.017289073,0,0.112378976,0.53769018,0.354401806,0.197441217,0.287344398,0.185684647,0.087482711,0.15560166,0.020708881,83304,0.090485075,0.141225337,0.010519802,1696200,1959,0.779084158,3677.662777,364046,3761700
