local_weight,local_model_num,r2,rmse
0.75,16,0.945658519,1.258231392
0.75,22,0.945657091,1.258247921
0.25,8,0.945649097,1.258340465
0.25,23,0.945646597,1.258369412
0.25,16,0.945644148,1.258397758
0.75,21,0.94564287,1.258412552
0.25,9,0.945638235,1.258466205
0.75,17,0.945637771,1.258471567
0.25,17,0.945635523,1.258497598
0.75,18,0.94563306,1.258526106
0.25,18,0.945630489,1.258555863
0.25,5,0.945629219,1.258570562
2.50E-01,11,0.945628873,1.258574565
0.25,22,0.945628222,1.258582097
2.50E-01,21,0.945626754,1.258599091
0.75,6,0.945626516,1.258601843
0.25,10,0.945622715,1.258645832
0.25,15,0.945620928,1.25866651
0.25,20,0.945620318,1.258673568
0.25,12,0.945619927,1.258678097
0.25,19,0.945619781,1.258679789
0.75,7,0.945618762,1.258691584
0.25,14,0.945616568,1.258716976
0.25,13,0.945614408,1.258741966
0.75,20,0.945613968,1.258747063
0.75,19,0.945606994,1.258827759
0.75,8,0.945589664,1.25902828
0.25,3,0.945574811,1.259200116
0.75,15,0.94557163,1.259236914
0.75,9,0.945569157,1.25926552
0.25,4,0.945561609,1.259352825
0.75,11,0.945560829,1.259361848
0.25,2,0.945559633,1.259375689
0.75,12,0.945556311,1.259414104
0.75,14,0.945553605,1.259445406
0.75,13,0.94554597,1.259533708
0.75,10,0.94554051,1.259596852
2.50E-01,1,0.945534307,1.259668586
0.75,5,0.945459594,1.260532263
0.75,3,0.945243976,1.263021473
0.75,4,0.945231653,1.263163587
0.75,2,0.94523149,1.263165473
0.75,1,0.945066506,1.265066608
1,40,0.944950626,1.266400206
1,39,0.944940167,1.266520507
1,38,0.944881004,1.267200773
1,37,0.944839435,1.267678533
1,36,0.944790955,1.268235477
1,35,0.944764145,1.26854338
1,34,0.944719888,1.26905148
1,33,0.944655477,1.2697906
1,32,0.944594727,1.270487307
1,31,0.944543445,1.271075143
1,30,0.944524292,1.271294614
1,29,0.944500469,1.271567555
1,28,0.944459966,1.272031458
1,27,0.944429065,1.272385278
1,26,0.944365537,1.273112351
1,25,0.944358236,1.273195886
1,24,0.944297546,1.273890051
1,23,0.944218532,1.274793243
1,22,0.944128371,1.275823067
1,21,0.944102864,1.276114252
1,16,0.944099374,1.27615409
1,18,0.944075774,1.276423449
1,17,0.94407513,1.276430799
1,20,0.94405793,1.276627063
1,19,0.944045059,1.276773925
1,7,0.943987047,1.277435607
1,6,0.943977561,1.27754377
1,15,0.943972035,1.277606775
1,8,0.943951765,1.27783786
1,14,0.943944707,1.277918321
1,12,0.9439434,1.277933212
1,11,0.943934545,1.278034147
1,13,0.943933756,1.278043141
1,9,0.943932476,1.278057725
1,10,0.943906222,1.278356922
1,5,0.943731382,1.280347639
1,2,0.943414346,1.283949529
1,4,0.94341072,1.28399067
1,3,0.943408962,1.284010609
1,1,0.94313503,1.287114515
