GEOID,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density
6037239310,0.11574764,0.00273224,0.0,0.0,0.896174863,0.498261302,0.437019713,0.186785892,0.16815698,0.134128167,0.106805763,0.091902633,0.496598639,39479,0.072634271,0.314952807,0.220119522,363000,1939,0.69123506,7530.695158
36081050800,0.819028936,0.0,0.008827857,0.0,0.055419323,0.538989701,0.397530864,0.120647376,0.171652771,0.128984796,0.115252575,0.212849436,0.157612854,70417,0.092,0.144619941,0.269662921,437600,1939,0.393258427,9292.934817
36085001100,0.4776602,0.0,0.019106408,0.0,0.405937684,0.46031746,0.392088827,0.174603175,0.136096414,0.155496767,0.147854203,0.138741917,0.154844692,45359,0.032163743,0.243298969,0.4781491,328600,1939,0.598971722,10471.62319
6037125501,0.096258395,0.001279181,0.084425967,0.0,0.22257755,0.511032939,0.378685613,0.229613048,0.259993604,0.126638951,0.155100736,0.117045091,0.088067099,47227,0.055851064,0.133354653,0.054794521,554600,1966,0.854296389,6740.604219
36047029100,0.657669969,0.0,0.003074821,0.0,0.129142467,0.472839084,0.262674504,0.327980868,0.130167407,0.089169798,0.16023232,0.193372053,0.106585789,66726,0.110882957,0.086106346,0.211902615,834300,1939,0.747520289,17788.33882
6037122410,0.033444816,0.050724638,0.036231884,0.0,0.800167224,0.506688963,0.418264204,0.238294314,0.119286511,0.154960981,0.119843924,0.117056856,0.411380597,31397,0.112198304,0.307913669,0.203821656,401400,1974,0.895359418,5076.975323
36061029500,0.06604001,0.0,0.040250663,0.0,0.548083876,0.523138106,0.323471951,0.184020246,0.229211858,0.122680164,0.124126295,0.195468788,0.212446691,76159,0.107963951,0.092874396,0.184226015,353800,1939,0.888758093,61247.08453
36047098800,0.850323375,0.0,0.032029566,0.0,0.097936557,0.449645827,0.372734437,0.171234986,0.106867878,0.137357561,0.126270403,0.227902679,0.159964254,72917,0.071655041,0.123887974,0.123869801,519000,1953,0.609403255,20062.28143
36005033202,0.306780465,0.007823613,0.008534851,0.0,0.551446183,0.48269322,0.380580357,0.142247511,0.110241821,0.082503556,0.187292556,0.290422001,0.266916121,49338,0.077889447,0.181238374,0.26621787,169700,1965,0.760709914,36634.29971
6037191710,0.057059254,0.0,0.08302853,0.0,0.614484272,0.535479151,0.424698795,0.181053402,0.207022677,0.144111192,0.101682516,0.198244331,0.373860182,28464,0.082851638,0.379297732,0.137687555,691700,1939,0.92674316,3859.84826
36081076901,0.043857524,0.0,0.305306518,0.0,0.163314756,0.457475164,0.564171927,0.030772959,0.225345287,0.161618609,0.148534044,0.230676036,0.043959422,81366,0.028676772,0.044826751,0.025160335,313500,1939,0.459792797,22810.68294
36047052000,0.209913893,0.0,0.244589248,0.0,0.193856179,0.471491738,0.474494416,0.176169421,0.178496626,0.125436351,0.080288573,0.179660228,0.283445111,65288,0.064573991,0.187805446,0.175932442,791700,1939,0.693173821,22561.64153
6037204820,0.020037279,0.0,0.000465983,0.0,0.956197577,0.522367195,0.418013857,0.18639329,0.146318733,0.11276794,0.158434296,0.151910531,0.467943994,39907,0.02289282,0.197110904,0.153386454,368600,1952,0.551792829,6706.606288
36061011100,0.06097561,0.0,0.272426623,0.0,0.137246796,0.517982637,0.378283713,0.293923109,0.284828442,0.135386523,0.095080612,0.134973129,0.062721893,100813,0.018198643,0.161430343,0.066278223,670600,2000,0.906773489,27589.74651
36047000700,0.014713217,0.0,0.091022444,0.0,0.077805486,0.477805486,0.538098237,0.125935162,0.254114713,0.172568579,0.106483791,0.103990025,0.01611279,157992,0.037860082,0.052486188,0.024225352,2000000,1939,0.612957746,22698.19886
36081045800,0.093845482,0.026625928,0.624618071,0.0,0.085552161,0.511130511,0.603763143,0.104321257,0.199912702,0.154081187,0.095591445,0.195111305,0.088463837,58942,0.076724138,0.075098814,0.063920455,755600,1953,0.598011364,9345.451282
36085018901,0.050359712,0.0,0.149787862,0.0,0.146836377,0.508946689,0.539077722,0.180778454,0.117505995,0.135952776,0.147574248,0.244973252,0.084803792,69424,0.055327869,0.124768604,0.090117768,495000,1960,0.26625704,4992.862077
36081024300,0.006672678,0.001442741,0.377457169,0.0,0.317042381,0.514878269,0.501161072,0.142110009,0.153832281,0.178719567,0.120829576,0.231199279,0.209535452,65556,0.044801642,0.062488647,0.1126021,723400,1956,0.519836639,10272.18988
36061007700,0.007356547,0.0,0.059342815,0.0,0.060650646,0.527382704,0.282336579,0.211378127,0.254700016,0.153833579,0.119012588,0.197972863,0.014727011,151438,0.045120898,0.07683505,0.036863824,1050300,1939,0.728473177,34233.04437
36061027500,0.072805755,0.007194245,0.037122302,0.0,0.265899281,0.46676259,0.580074804,0.097553957,0.157122302,0.129784173,0.161438849,0.261007194,0.116057839,102589,0.087313073,0.058465991,0.082894737,661700,1939,0.479605263,3070.03207
36081022001,0.16361855,0.0,0.221097322,0.0,0.365774004,0.450522534,0.424198776,0.217994775,0.247224037,0.101894187,0.177988243,0.145003266,0.052444795,74394,0.097027348,0.129113078,0.091888253,231000,1956,0.824638169,15484.66704
36047091600,0.833113282,0.0,0.0,0.0,0.199366253,0.426458938,0.227074236,0.196989702,0.114338527,0.148138368,0.128069712,0.151835226,0.214285714,20098,0.148813803,0.408502773,0.605572755,462000,1980,0.87244582,17571.94428
36047005100,0.045503404,0.0,0.058402006,0.0,0.169115013,0.497312791,0.642170989,0.087065568,0.218201362,0.209243999,0.102472232,0.123253314,0.017286537,101389,0.032162001,0.051587302,0.009225092,897900,1939,0.492619926,15540.86786
36081099802,0.612207663,0.0,0.037817217,0.005805275,0.186432244,0.363410184,0.287067545,0.208160557,0.065019074,0.11278819,0.111793,0.29042959,0.269852592,41839,0.133946421,0.322275668,0.465620329,304900,1982,0.939088191,5366.6005
36081018401,0.746309963,0.0,0.021678967,0.0,0.134686347,0.395756458,0.292598967,0.197416974,0.102859779,0.157749077,0.102859779,0.191881919,0.229852838,62045,0.088518843,0.123255814,0.212389381,392400,1949,0.410029499,11395.95149
36081060100,0.020833333,0.0,0.037037037,0.0,0.460185185,0.474537037,0.550441362,0.101388889,0.131018519,0.145833333,0.133333333,0.178703704,0.169343066,68833,0.028601695,0.139328984,0.119047619,586400,1939,0.580687831,13995.34784
36029000800,0.004524887,0.004524887,0.010078157,0.0,0.037638832,0.479843686,0.382418674,0.165981078,0.133484163,0.142533937,0.1534348,0.182023858,0.095323205,67478,0.063912429,0.162906231,0.150132626,108600,1939,0.312997347,4451.851378
36081046000,0.170834005,0.00967898,0.464107114,0.0,0.338119051,0.490401678,0.584893751,0.13534441,0.178254557,0.135667043,0.13711889,0.144216809,0.257240204,40745,0.065420561,0.181158251,0.213500785,515600,1956,0.879120879,28030.87511
36047029300,0.64494721,0.022624434,0.061236802,0.0,0.219607843,0.437707391,0.306422677,0.22413273,0.107390649,0.118853695,0.190950226,0.158069382,0.130759105,34703,0.153846154,0.296229261,0.275836972,1156300,1939,0.796215429,20168.89549
6037234502,0.640747029,0.009847199,0.006791171,0.0,0.333106961,0.520882852,0.301689461,0.180305603,0.133786078,0.102886248,0.165704584,0.229202037,0.239303483,24614,0.138745387,0.249488753,0.11662531,415100,1943,0.721257237,5407.420192
36081041300,0.011711527,0.003287446,0.171769057,0.0,0.812410109,0.529073351,0.406861355,0.1329361,0.22231354,0.121224574,0.076433121,0.12718307,0.549799465,52000,0.027276727,0.225759162,0.369168357,696400,1947,0.62474645,30665.60815
6037104204,0.046322291,0.003368894,0.058113419,0.0,0.773161145,0.508422235,0.394994927,0.202975856,0.13840539,0.147108366,0.153565413,0.147108366,0.433110368,63333,0.076875769,0.155569782,0.157534247,359000,1978,0.354794521,1335.48786
36029017100,0.303678161,0.003218391,0.07816092,0.007356322,0.281149425,0.483678161,0.298290874,0.245977011,0.143908046,0.094482759,0.076781609,0.12183908,0.298230834,25972,0.047976879,0.467412451,0.510504202,67500,1939,0.679971989,1809.386348
36047009000,0.034122563,0.011490251,0.354456825,0.0,0.497214485,0.479108635,0.48988764,0.177576602,0.170961003,0.173050139,0.105153203,0.111072423,0.440641711,41862,0.058746736,0.192200557,0.334878331,534700,1939,0.774044032,19352.96932
36005037000,0.717563291,0.0,0.014636076,0.0,0.219936709,0.431170886,0.366426859,0.162579114,0.129351266,0.184335443,0.128955696,0.193433544,0.271322267,51979,0.073170732,0.152689873,0.190416141,408900,1955,0.403530895,15919.79647
36005030000,0.100449775,0.002831917,0.058970515,0.0,0.587539564,0.509578544,0.482892057,0.176578377,0.190238214,0.107779444,0.127602865,0.2003998,0.126213592,55903,0.050405562,0.076961519,0.127594158,459800,1952,0.73443505,14448.90532
36005005002,0.219605001,0.00724769,0.013408226,0.0,0.779489038,0.499909404,0.296140524,0.217611886,0.149845987,0.120492843,0.080086972,0.12991484,0.436993138,26534,0.12274822,0.442409815,0.518439337,496200,1939,0.975948691,48482.02678
36005015200,0.073859242,0.0,0.04679041,0.0,0.610595514,0.506960557,0.53708192,0.143851508,0.108275329,0.184454756,0.089713844,0.243232792,0.197765363,70917,0.114977307,0.13070379,0.136263736,470800,1954,0.423076923,9100.795
36081067900,0.016965822,0.0,0.066879764,0.0,0.388984509,0.48020654,0.465395894,0.107204328,0.129825424,0.17211704,0.136710106,0.271207278,0.134799235,47841,0.051230537,0.120076066,0.115613826,566600,1953,0.755065554,16045.60787
36081056500,0.014893617,0.014184397,0.029078014,0.0,0.729787234,0.518439716,0.350982067,0.173049645,0.127659574,0.163120567,0.183687943,0.140425532,0.167992048,68259,0.037831021,0.138297872,0.09270217,526400,1950,0.575936884,11977.9809
6037135201,0.095517241,0.001724138,0.171034483,0.001034483,0.158275862,0.473793103,0.485906605,0.127241379,0.124137931,0.154137931,0.100344828,0.253103448,0.055922725,107407,0.009061489,0.059655172,0.009868421,641000,1958,0.200657895,1893.667315
6037106020,0.011365593,0.001549854,0.007577062,0.0,0.803513002,0.499913897,0.508984454,0.187876701,0.120027553,0.174616842,0.143275357,0.175305666,0.27526725,75038,0.057692308,0.13626943,0.072542373,466500,1964,0.176271186,2878.814311
6037125100,0.055095963,0.025148908,0.083553938,0.000330907,0.231303772,0.393117141,0.37507395,0.208471211,0.198378557,0.099106552,0.12177366,0.198544011,0.088539423,66134,0.112598425,0.124420913,0.046110524,830400,1965,0.723688842,4655.820546
6037128210,0.05984372,0.00933867,0.03030303,0.0,0.823899371,0.512864494,0.358381503,0.215361159,0.205069564,0.095673718,0.093577282,0.096626644,0.454747539,31223,0.131588647,0.447600768,0.22972096,463900,1971,0.949383517,9544.286252
36005015300,0.569907881,0.0,0.02272262,0.0,0.505629478,0.481883316,0.449400613,0.174411464,0.186079836,0.068781986,0.120777892,0.14370522,0.265419948,17438,0.098251029,0.440323249,0.484237074,398800,1986,0.846153846,20638.1127
36061020600,0.605622271,0.0,0.035753275,0.0,0.229530568,0.510371179,0.246055723,0.192412664,0.131550218,0.142740175,0.131277293,0.186681223,0.182552504,40078,0.05045045,0.275151182,0.215374841,579200,1962,0.874841169,24647.17674
36081016900,0.021857923,0.0,0.242486339,0.0,0.321038251,0.50034153,0.445386245,0.165983607,0.193818306,0.154713115,0.09306694,0.240095628,0.148831225,56176,0.060471976,0.065526091,0.05880047,504100,1939,0.6499412,25357.01605
36005016200,0.041200407,0.021871821,0.00508647,0.0,0.497456765,0.497965412,0.458759783,0.123092574,0.138351984,0.119532045,0.148016277,0.279247202,0.222140762,81908,0.052004334,0.124284078,0.097222222,412000,1939,0.423611111,10889.3123
6037218600,0.276503822,0.0,0.035559987,0.0,0.54968428,0.510800931,0.416830515,0.206713194,0.13293453,0.21070123,0.109006314,0.157195081,0.251499769,56167,0.052937755,0.177846577,0.121771218,543700,1939,0.605166052,6990.440126
36029002300,0.138957139,0.003276003,0.024024024,0.0,0.095823096,0.44990445,0.329690346,0.186459186,0.178269178,0.07971608,0.119028119,0.159432159,0.18235793,31522,0.069392813,0.313131313,0.472260749,55700,1939,0.582524272,4724.488664
36047021100,0.386159535,0.0,0.05758056,0.0,0.383518225,0.434759641,0.348196721,0.191230851,0.215002641,0.103539356,0.082937137,0.179609086,0.15156131,60257,0.068097015,0.117929562,0.20278834,732100,1949,0.80608365,10906.2626
6037293307,0.073667712,0.0,0.134404389,0.0,0.695141066,0.501959248,0.47761194,0.218260188,0.190438871,0.117163009,0.159482759,0.135188088,0.359150889,50735,0.068666667,0.239811912,0.096982759,321700,1979,0.770474138,7538.631053
