mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__n_estimators,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
14.856402397155762,0.0877529453308192,0.17918291091918945,0.0006641230572425195,7,980,False,"{'model__bootstrap': False, 'model__max_features': 7, 'model__n_estimators': 980}",-3.5795901592342547,-4.781152757556365,-4.232712230692555,-3.792407514874755,-4.90198015209437,-3.6452795637978372,-3.8361170888029217,-5.075295254225595,-6.026921473891249,-3.8817034969691893,-4.375315969213909,0.7563392042265265,33,-1.3099347107113174e-25,-1.2915692751490093e-25,-1.294921155184477e-25,-1.2775525735030052e-25,-1.302575517769162e-25,-1.316132218040179e-25,-1.3072160716601202e-25,-1.297032423363365e-25,-1.2965772562692212e-25,-1.310749440529313e-25,-1.300426064217917e-25,1.0736235422922664e-27
15.07075638771057,0.09788733386410856,0.1867537021636963,0.013321119132717857,7,990,False,"{'model__bootstrap': False, 'model__max_features': 7, 'model__n_estimators': 990}",-3.581136516973495,-4.774527576996503,-4.235959862404697,-3.794651991123355,-4.905052243575735,-3.647896653621364,-3.832889170977262,-5.061964832761879,-6.027488666110246,-3.8818480726162847,-4.374341558716082,0.7546741187439175,24,-1.331593565184047e-25,-1.3139074544267446e-25,-1.316674773457668e-25,-1.2989327641171135e-25,-1.3244407573481462e-25,-1.338744011461824e-25,-1.3278071110459373e-25,-1.319274911989334e-25,-1.3183369143255477e-25,-1.3338621236908266e-25,-1.3223574387047187e-25,1.0946687198737953e-27
15.246322989463806,0.0758479631612644,0.1937807559967041,0.009946459749278595,7,1000,False,"{'model__bootstrap': False, 'model__max_features': 7, 'model__n_estimators': 1000}",-3.5862523890714373,-4.77241343435713,-4.237154048714274,-3.7945408762857156,-4.896268969285719,-3.6511375355714435,-3.8321011466906425,-5.063376925899271,-6.030660496330907,-3.878581728057548,-4.374248755026409,0.7541837860273133,23,-1.3512503710727937e-25,-1.3347445620412296e-25,-1.337014873578905e-25,-1.3185568347905894e-25,-1.3448942373822897e-25,-1.3594090770546862e-25,-1.3464417753868063e-25,-1.3399215795618168e-25,-1.3379176343843183e-25,-1.3550768715269579e-25,-1.3425227816780393e-25,1.1104428263433596e-27
0.11251928806304931,0.007775290453071944,0.0056176424026489254,0.000592685584027002,sqrt,10,False,"{'model__bootstrap': False, 'model__max_features': 'sqrt', 'model__n_estimators': 10}",-4.518030714285715,-5.764434999999998,-5.252317857142857,-5.113162857142856,-5.223218571428569,-4.548998571428572,-4.901254676258992,-5.817433812949641,-6.6240381294964035,-5.5004086330935245,-5.326329882322713,0.6039287720211854,895,-1.266699580931319e-29,-1.2553942494870687e-29,-1.269211876807819e-29,-1.2430839996922186e-29,-1.279261060313819e-29,-1.265192203405419e-29,-1.2855232126131428e-29,-1.2491239027461431e-29,-1.26619392392515e-29,-1.2594161213981913e-29,-1.2639100131320288e-29,1.2209021001909268e-31
0.2107304573059082,0.013290278057030555,0.007110810279846192,0.0003161048695309287,sqrt,20,False,"{'model__bootstrap': False, 'model__max_features': 'sqrt', 'model__n_estimators': 20}",-4.456570714285715,-5.051080357142858,-4.916932142857142,-4.8055512500000015,-5.318419464285712,-3.939166428571431,-4.003184712230215,-5.232657194244606,-6.907699640287772,-4.488664568345325,-4.911992647225079,0.8025268211088614,833,-3.1177591827365465e-29,-3.172276003256598e-29,-3.121778856138947e-29,-3.1162518052106465e-29,-3.1700149369677475e-29,-3.1850887122267475e-29,-3.1069948843024547e-29,-3.183809979607985e-29,-3.0876655956144615e-29,-3.1654848098128747e-29,-3.1427124765875006e-29,3.4190220365243736e-31
0.30215768814086913,0.0037827615354223774,0.008905982971191407,0.00030562682645529567,sqrt,30,False,"{'model__bootstrap': False, 'model__max_features': 'sqrt', 'model__n_estimators': 30}",-4.546164365079364,-5.079416031746031,-4.95490507936508,-4.636469126984129,-5.403584285714284,-4.060222380952384,-4.076700879296562,-5.4815379696243,-6.852120543565152,-4.158359872102318,-4.92494805344296,0.8098928901100748,843,-9.665304696070945e-29,-9.743688327417746e-29,-9.821067040413947e-29,-9.775845714636946e-29,-9.885633044439998e-29,-9.878598615985798e-29,-9.804467899830408e-29,-9.742212528471678e-29,-9.648578441710361e-29,-9.75024547961474e-29,-9.771564178859257e-29,7.518592632027444e-31
0.39738640785217283,0.0024022033056495173,0.010865902900695801,0.0006237096509994754,sqrt,40,False,"{'model__bootstrap': False, 'model__max_features': 'sqrt', 'model__n_estimators': 40}",-4.2439637053571415,-4.93164776785714,-4.745104866071429,-4.296141741071433,-5.533569419642853,-4.044025089285718,-3.9319566546762563,-5.45286587230216,-6.7174089028776995,-4.108173156474818,-4.800485717561665,0.8383214356823394,681,-1.878694856446728e-28,-1.8411862790105826e-28,-1.866786573992118e-28,-1.869801329043918e-28,-1.883443095653313e-28,-1.8769362493331782e-28,-1.8802879358399188e-28,-1.8518211652266927e-28,-1.8786813456113063e-28,-1.8663306832288485e-28,-1.8693969513386601e-28,1.2909413720887267e-30
0.4960352659225464,0.004136722380279842,0.012428808212280273,0.0002559443113058691,sqrt,50,False,"{'model__bootstrap': False, 'model__max_features': 'sqrt', 'model__n_estimators': 50}",-4.1253426571428555,-4.805545114285712,-4.627407771428573,-4.169175314285718,-5.36856782857143,-4.048596485714286,-4.004191827338128,-5.532258877697843,-6.580403654676262,-4.061542359712227,-4.732303189085304,0.8129969093820182,670,-3.134013737057502e-28,-3.068417691722086e-28,-3.094269216291271e-28,-3.072462488083251e-28,-3.1003740952711665e-28,-3.129315743768447e-28,-3.1334032111852706e-28,-3.0847787537974234e-28,-3.132072753652201e-28,-3.1289599850842644e-28,-3.1078067675912884e-28,2.5318832207168404e-30
0.5930164337158204,0.004284820016535186,0.014400005340576172,0.0006292884038940321,sqrt,60,False,"{'model__bootstrap': False, 'model__max_features': 'sqrt', 'model__n_estimators': 60}",-4.140624841269841,-4.917175515873016,-4.635195615079366,-4.0710354166666685,-5.394056845238099,-4.034016091269842,-3.988951119104716,-5.430427258193446,-6.507020483613111,-4.031299480415663,-4.714980266672376,0.8021511777171106,661,-5.405983390011546e-28,-5.319736272571299e-28,-5.337950417675925e-28,-5.269465232082534e-28,-5.374403830843941e-28,-5.416032573517546e-28,-5.381851339100651e-28,-5.342966834973766e-28,-5.347736399714959e-28,-5.400578156452914e-28,-5.359670444694508e-28,4.281237456775718e-30
0.6905709266662597,0.003359760764203486,0.016188883781433107,0.00046155401495158227,sqrt,70,False,"{'model__bootstrap': False, 'model__max_features': 'sqrt', 'model__n_estimators': 70}",-3.9751391107871736,-4.89778973760933,-4.571818892128282,-4.1813536151603525,-5.364815728862978,-4.042462142857143,-4.0404945969754795,-5.376812949640291,-6.553585082954045,-3.951512391719273,-4.695578424869434,0.813212367497482,633,-6.641530502074265e-28,-6.602966760369989e-28,-6.587666878482103e-28,-6.5144585766408925e-28,-6.641630993909325e-28,-6.69034441095466e-28,-6.598818334302224e-28,-6.611470232352546e-28,-6.56831822293091e-28,-6.671566748091579e-28,-6.612877166010849e-28,4.868116726304478e-30
