,local_weight,local_model_num,r2,rmse
109,0.75,30,0.8370707483767047,2.844198039254587
110,0.75,31,0.837081224398541,2.8441065996897508
111,0.75,32,0.8372326038635637,2.8427849613714002
112,0.75,33,0.83725591093827,2.842581421304138
113,0.75,34,0.8375936401729693,2.8396304034366735
114,0.75,35,0.837599603897964,2.8395782659147843
115,0.75,36,0.8376862902470136,2.8388203073896334
116,0.75,37,0.8380334835972374,2.8357825259053167
117,0.75,38,0.837995262487239,2.836117102349563
118,0.75,39,0.8379651618771934,2.8363805665272777
119,0.75,40,0.8377818334158587,2.837984673068249
120,1.0,1,0.8363171249897777,2.850768318183796
121,1.0,2,0.8362503713667235,2.851349563215039
122,1.0,3,0.8359846453523778,2.853662150512208
123,1.0,4,0.8370651831569011,2.8442466138718907
124,1.0,5,0.8375526236924342,2.8399889617233005
125,1.0,6,0.8371029634611582,2.843916841714093
126,1.0,7,0.8370277005651576,2.8445737496127834
127,1.0,8,0.8374004081064428,2.8413192059402137
128,1.0,9,0.8375977180906522,2.8395947525799623
129,1.0,10,0.8376785841790279,2.8388876950510866
130,1.0,11,0.8381605608712821,2.8346698446138183
131,1.0,12,0.8377430095705496,2.838324261687031
132,1.0,13,0.8376732800299471,2.8389340775954763
133,1.0,14,0.837741293042099,2.838339275066266
134,1.0,15,0.8377296009741637,2.838441536012503
135,1.0,16,0.8378154961319141,2.8376901954799933
136,1.0,17,0.8379052784639733,2.836904640427881
137,1.0,18,0.8380131593505058,2.8359604433448324
138,1.0,19,0.8384680748332121,2.83197546110436
139,1.0,20,0.838520067257694,2.83151965919331
140,1.0,21,0.8384574739525897,2.8320683868254464
141,1.0,22,0.8390743498630236,2.8266558622347615
142,1.0,23,0.8390711554865105,2.826683916675684
143,1.0,24,0.838781750783959,2.8292244437187875
144,1.0,25,0.8389839825383144,2.827449400983779
145,1.0,26,0.8390051885809463,2.8272632052630544
146,1.0,27,0.8391245543841535,2.826214907130107
147,1.0,28,0.8390973091214993,2.82645421558173
148,1.0,29,0.8392205127461623,2.825371896547835
149,1.0,30,0.8392415079533002,2.825187416531496
150,1.0,31,0.8392576168240494,2.825045863452357
151,1.0,32,0.8394613323487609,2.8232551467003066
152,1.0,33,0.8394885291964325,2.8230159928143927
153,1.0,34,0.8399352212050553,2.8190851297049826
154,1.0,35,0.8399455672692006,2.8189940200082595
155,1.0,36,0.840062287844683,2.8179659490947
156,1.0,37,0.8405204420609478,2.8139269114027883
157,1.0,38,0.8404709323104977,2.814363663329078
158,1.0,39,0.8404352357413806,2.814678519766062
159,1.0,40,0.8401962088210245,2.816785915385658
